,Sub_Dem_key,Place_name,Population,Population_density_persqm,Pop_perc_over_65,neighborhood_name
0,0,Hintonburg,0,0,0,Unknown
1,1,Gloucester,0,0,0,Beacon Hill-Cyrville
2,2,Nepean,0,0,0,City View
3,3,Ottawa,0,0,0,Unknown
4,4,Westboro,0,0,0,Westboro Beach
5,5,Nepean,0,0,0,Knoxdale-Merivale
6,6,Lowertown,0,0,0,Byward Market
7,7,Ottawa,0,0,0,Unknown
8,8,Ottawa,0,0,0,Unknown
9,9,Centretown,0,0,0,Centretown West
10,10,Centretown,0,0,0,Unknown
11,11,Ottawa,0,0,0,Unknown
12,12,Centretown,0,0,0,Chinatown
13,13,Nepean,0,0,0,Arlington Woods
14,14,Ottawa,0,0,0,Unknown
15,15,Ottawa,0,0,0,Unknown
16,16,Nepean,0,0,0,Knoxdale-Merivale
17,17,Ottawa,0,0,0,Brookfield Gardens
18,18,Ottawa,0,0,0,Unknown
19,19,Ottawa,0,0,0,Hunt Club Park
20,20,Nepean,0,0,0,Fisher Heights
21,21,Centretown,0,0,0,Chinatown
22,22,Orléans,0,0,0,Queenswood Heights
23,23,Ottawa,0,0,0,Ellwood
24,24,Carlington,0,0,0,Unknown
25,25,Nepean,0,0,0,Borden Farm
26,26,Lowertown,0,0,0,Byward Market
27,27,Barrhaven West,0,0,0,Unknown
28,28,Nepean,0,0,0,Westcliffe Estates
29,29,Carlington,0,0,0,Unknown
30,30,Ottawa,0,0,0,Unknown
31,31,Gloucester,0,0,0,Gloucester-Southgate
32,32,Nepean,0,0,0,Unknown
33,33,Nepean,0,0,0,College
34,34,Gloucester,0,0,0,Orléans Central
35,35,Ottawa,0,0,0,College
36,36,Ottawa,0,0,0,Unknown
37,37,Nepean,0,0,0,Knoxdale-Merivale
38,38,Manotick,0,0,0,Unknown
39,39,Centretown,0,0,0,Chinatown
40,40,Centretown,0,0,0,Chinatown
41,41,Manotick,0,0,0,Unknown
42,42,Ottawa,0,0,0,Unknown
43,43,Nepean,0,0,0,Barrhaven East
44,44,Ottawa,0,0,0,Lincoln Heights
45,45,Nepean,0,0,0,College
46,46,Centretown,0,0,0,Unknown
47,47,Centretown,0,0,0,Golden Triangle
48,48,Gloucester,0,0,0,Gloucester-Southgate
49,49,Lowertown,0,0,0,Byward Market
50,50,Ottawa,0,0,0,Unknown
51,51,Manotick,0,0,0,Unknown
52,52,Ottawa,0,0,0,Unknown
53,53,Lowertown,0,0,0,Unknown
